model_a,model_b,gold_label,gpt_label,confidence,confidence_normalized
gpt-3.5-turbo,gpt-4,model_a,model_b,0.9,0.00020743445071357447
vicuna-13b-v1.2,gpt-3.5-turbo,model_a,model_b,0.9,0.0018669100564221708
vicuna-13b-v1.2,gpt-3.5-turbo,model_a,model_a,0.85,0.0003111516760703618
vicuna-13b-v1.2,gpt-3.5-turbo,model_a,model_a,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_b,0.7,0.0014520411549950214
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_b,0.7,0.0014520411549950214
vicuna-13b-v1.2,gpt-3.5-turbo,model_a,model_b,0.8,0.0016594756057085962
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.8,0.0016594756057085962
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.85,0.0017631928310653834
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
llama-13b,gpt-3.5-turbo,model_b,model_b,0.95,0.0019706272817789578
llama-13b,gpt-3.5-turbo,model_b,model_b,0.95,0.0019706272817789578
llama-13b,gpt-3.5-turbo,model_b,model_b,0.95,0.0019706272817789578
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
gpt-3.5-turbo,gpt-4,model_b,model_b,0.95,0.00010371722535678735
gpt-3.5-turbo,gpt-4,tie,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,gpt-4,model_b,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,gpt-4,model_b,model_b,0.9,0.00020743445071357447
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
llama-13b,gpt-3.5-turbo,model_b,model_b,1.0,0.002074344507135745
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_a,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_a,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,model_a,model_a,0.75,0.0005185861267839362
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_a,0.8,0.00041486890142714895
alpaca-13b,gpt-3.5-turbo,tie,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
gpt-3.5-turbo,gpt-4,model_b,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,gpt-4,model_b,model_b,0.9,0.00020743445071357447
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_a,0.9,0.00020743445071357447
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_a,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_a,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_b,0.9,0.0018669100564221708
gpt-3.5-turbo,claude-v1,model_a,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,claude-v1,tie,model_b,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_a,0.9,0.00020743445071357447
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_a,0.8,0.00041486890142714895
alpaca-13b,gpt-3.5-turbo,tie,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,tie,model_b,0.9,0.0018669100564221708
gpt-3.5-turbo,claude-v1,tie,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,claude-v1,model_b,model_b,0.8,0.00041486890142714895
gpt-3.5-turbo,claude-v1,model_a,model_a,0.95,0.0019706272817789578
gpt-3.5-turbo,claude-v1,model_b,model_b,0.7,0.0006223033521407236
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
llama-13b,gpt-3.5-turbo,tie,model_b,0.9,0.0018669100564221708
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
vicuna-13b-v1.2,gpt-3.5-turbo,model_a,model_a,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_b,0.8,0.0016594756057085962
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_b,0.85,0.0017631928310653834
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_b,0.8,0.0016594756057085962
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
vicuna-13b-v1.2,gpt-3.5-turbo,model_a,model_a,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_b,0.8,0.0016594756057085962
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_b,0.8,0.0016594756057085962
alpaca-13b,gpt-3.5-turbo,tie,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,tie,model_b,0.95,0.0019706272817789578
gpt-3.5-turbo,claude-v1,tie,model_a,0.9,0.0018669100564221708
gpt-3.5-turbo,claude-v1,model_a,model_a,0.9,0.0018669100564221708
gpt-3.5-turbo,gpt-4,model_b,model_a,0.9,0.0018669100564221708
gpt-3.5-turbo,gpt-4,model_b,model_a,0.8,0.0016594756057085962
vicuna-13b-v1.2,gpt-3.5-turbo,model_a,model_b,0.85,0.0017631928310653834
vicuna-13b-v1.2,gpt-3.5-turbo,model_a,model_a,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
gpt-3.5-turbo,claude-v1,model_a,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,claude-v1,model_a,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,claude-v1,model_a,model_b,0.8,0.00041486890142714895
gpt-3.5-turbo,claude-v1,model_b,model_b,0.9,0.00020743445071357447
alpaca-13b,gpt-3.5-turbo,tie,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
gpt-3.5-turbo,claude-v1,model_b,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,claude-v1,model_b,model_b,0.9,0.00020743445071357447
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.95,0.0019706272817789578
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
gpt-3.5-turbo,claude-v1,model_b,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,claude-v1,tie,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,claude-v1,model_b,model_b,0.85,0.0003111516760703618
gpt-3.5-turbo,claude-v1,model_a,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,gpt-4,model_b,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,gpt-4,model_a,model_b,0.9,0.00020743445071357447
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_a,0.85,0.0003111516760703618
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_a,0.8,0.00041486890142714895
alpaca-13b,gpt-3.5-turbo,tie,tie,0.6,0.0008297378028542981
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,tie,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,tie,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
alpaca-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
gpt-3.5-turbo,claude-v1,tie,model_b,0.9,0.00020743445071357447
gpt-3.5-turbo,claude-v1,model_b,model_b,0.8,0.00041486890142714895
gpt-3.5-turbo,gpt-4,model_b,model_b,0.85,0.0003111516760703618
gpt-3.5-turbo,gpt-4,model_b,model_b,0.8,0.00041486890142714895
llama-13b,gpt-3.5-turbo,model_a,model_b,0.9,0.0018669100564221708
llama-13b,gpt-3.5-turbo,model_b,model_b,0.9,0.0018669100564221708
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_a,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,tie,model_a,0.7,0.0006223033521407236
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_a,0.8,0.00041486890142714895
vicuna-13b-v1.2,gpt-3.5-turbo,model_b,model_a,0.85,0.0003111516760703618
